table_id,molecule,type_name,method,base,benchmark_metric,minao,1e,atom,huckel,vsap,time,inchi,smi,organic,functional_group
6,t-hooo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8934581614487688,0.6571407378106923,0.900342524925438,0.9734734051866264,0.8934581614487688,0.28896164894104,"InChI=1S/HO3/c1-3-2/h1H
","[O]OO	molecule ""t-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,ch2nh2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.884363084871067,0.6242763647106178,0.891789261886454,0.9622292041746732,0.884363084871067,0.2314414978027343,"InChI=1S/CH4N/c1-2/h1-2H2
","[CH2]N	molecule ""ch2nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Amine
6,h2ccn, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8794169331443507,0.6150932680576862,0.888023921490361,0.9246025862258258,0.8794169331443507,0.2546560764312744,"InChI=1S/C2H2N/c1-2-3/h1H2
","[CH2]C#N	molecule ""h2ccn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Nitrile
6,ch3, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8675825642085001,0.6614990334383726,0.8732556806698173,0.9529746822386268,0.8675825642085001,0.1741585731506347,"InChI=1S/CH3/h1H3
","[CH3]	molecule ""ch3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,V(NMe2)4, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.894407638533727,0.573592810201566,0.9042885415536704,0.9567181149451044,0.894407638533727,17.919685125350952,"InChI=1S/4C2H6N.V/c4*1-3-2;/h4*1-2H3;/q4*-1;+4
","[V](N(C)C)(N(C)C)(N(C)C)N(C)C	molecule ""V(NMe2)4"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Amine
6,clo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9395937769392282,0.7756744285925199,0.9437641631466852,0.959630279364195,0.9395937769392282,0.2024483680725097,"InChI=1S/ClO/c1-2
","Cl[O]	molecule ""clo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,hcnh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8740805210928917,0.6344704138004905,0.881655916533884,0.9385454002854566,0.8740805210928917,0.220156192779541,"InChI=1S/CH2N/c1-2/h1-2H
","[CH]=N	molecule ""hcnh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,c-hooo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8959553915436682,0.6540560579235769,0.9037454605627244,0.9810404729221875,0.8959553915436682,0.2905583381652832,"InChI=1S/HO3/c1-3-2/h1H
","[O]OO	molecule ""c-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,sif, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.934359216032722,0.7903146094073794,0.935650271275475,0.9525204731449473,0.934359216032722,0.2063984870910644,"InChI=1S/FSi/c1-2
","F[Si]	molecule ""sif"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",inorganic,Unknown
6,n2h, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8731750965987922,0.5979160139627546,0.8812249517850108,0.8832114153946615,0.8731750965987922,0.1916327476501464,"InChI=1S/HN2/c1-2/h1H
","N=[N]	molecule ""n2h"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,ch2-trip, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8342313920594804,0.6934417790192419,0.8386042155111417,0.9602691609079904,0.8342313920594804,0.1718449592590332,"InChI=1S/CH2/h1H2
","[CH2]	molecule ""ch2-trip"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
6,no2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9027049581648158,0.6441807308102893,0.9108073122576404,0.9281148202549068,0.9027049581648158,0.2956550121307373,"InChI=1S/NO2/c2-1-3
","N(=O)[O]	molecule ""no2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,h2no, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8926497701804736,0.6529751114739923,0.899587905611401,0.9493763916743204,0.8926497701804736,0.2172987461090088,"InChI=1S/H2NO/c1-2/h1H2
","N[O]	molecule ""h2no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Amine
6,nh2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8565209182966518,0.6107004120615837,0.8599192471788096,0.9854156117563084,0.8565209182966518,0.171832799911499,"InChI=1S/H2N/h1H2
","[NH2]	molecule ""nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,so, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9273698789395302,0.7606558304597645,0.9300513204497992,0.9892359023898556,0.9273698789395302,0.2048494815826416,"InChI=1S/OS/c1-2
","S=O	molecule ""so"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
6,hco, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8902505056153474,0.6630715729772402,0.894821999788008,0.9443956114585534,0.8902505056153474,0.2149806022644043,"InChI=1S/CHO/c1-2/h1H
","O=[CH]	molecule ""hco"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,hoo, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8919539999358267,0.6553094738613452,0.8986639017915375,0.982816247059636,0.8919539999358267,0.186084508895874,"InChI=1S/HO2/c1-2/h1H
","[O]O	molecule ""hoo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,no, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8860205014775296,0.6572624483517288,0.8923692813040878,0.938437190442554,0.8860205014775296,0.205087661743164,"InChI=1S/NO/c1-2
","[N]=O	molecule ""no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,ssh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9492548981747015,0.7797407839560639,0.9524943260864428,0.9919299468743212,0.9492548981747015,0.2178695201873779,"InChI=1S/HS2/c1-2/h1H
","S[S]	molecule ""ssh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,oh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8708325496251142,0.6607169539444232,0.8719775962704557,0.9870673064148968,0.8708325496251142,0.1769394874572754,"InChI=1S/HO/h1H
","[OH]	molecule ""oh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,nh, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8235719843756153,0.6550617591781627,0.8258821674987383,0.9916676343802556,0.8235719843756153,0.1740572452545166,"InChI=1S/HN/h1H
","[NH]	molecule ""nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
6,sih, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.912845268783224,0.7268549248753693,0.9157091242962582,0.9310788331425228,0.912845268783224,0.1801519393920898,"InChI=1S/HSi/h1H
","[SiH]	molecule ""sih"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",inorganic,Unknown
6,o2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.8933920851805166,0.6803521105864829,0.9003058307413284,0.996254478708642,0.8933920851805166,0.1632966995239257,"InChI=1S/O2/c1-2
","O=O	molecule ""o2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
6,hs, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9343297347135368,0.7727439629922871,0.9361645721389488,0.942662997722224,0.9343297347135368,0.1758680343627929,"InChI=1S/HS/h1H
","[SH]	molecule ""hs"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
6,s2, Non-neutral and/or non-singlet molecules,HF,pcseg-0,f-score,0.9481705385826866,0.79741309189046,0.950802143755526,0.9983042888273608,0.9481705385826866,0.1837351322174072,"InChI=1S/S2/c1-2
","[S][S]	molecule ""s2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
2,ch, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8057780342801463,0.793896347303778,0.803138648995023,0.906109270941359,0.8057780342801463,0.1802084445953369,"InChI=1S/CH/h1H
","[CH]	molecule ""ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,cn, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8586738306139257,0.7831790914906764,0.8544306049273148,0.8067451424621513,0.8586738306139257,0.2324583530426025,"InChI=1S/CN/c1-2
","[C]#N	molecule ""cn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,Cu(acac)2, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.9038842612333614,0.7449715033897822,0.9006945063419812,0.8407996867550865,0.9038842612333614,52.46653127670288,"InChI=1S/2C5H8O2.Cu/c2*1-4(6)3-5(2)7;/h2*3,6H,1-2H3;/q2*-1;+4/p-2/b2*4-3-;
","C1=C(O[Cu@]2(O[C]1C)O[C](C=C(O2)C)C)C	molecule ""Cu(acac)2"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Alkene
2,cch, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8560603459114821,0.7663635420219334,0.8493551537972605,0.6967716212609916,0.8560603459114821,0.2428267002105713,"InChI=1S/C2H/c1-2/h1H
","[C]#C	molecule ""cch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkyne
2,t-hooo, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8871947190335361,0.8035529714495587,0.8880301255457006,0.945127291815558,0.8871947190335361,0.205939769744873,"InChI=1S/HO3/c1-3-2/h1H
","[O]OO	molecule ""t-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,h2cn, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8687477063538838,0.7094817401926449,0.8629427761171136,0.8527516928734518,0.8687477063538838,0.2065536975860595,"InChI=1S/CH2N/c1-2/h1H2
","C=[N]	molecule ""h2cn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,ch2ch, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8695096831129784,0.7063779738155733,0.8598451377329325,0.7742700771792252,0.8695096831129784,0.1870343685150146,"InChI=1S/C2H3/c1-2/h1H,2H2
","[CH]=C	molecule ""ch2ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkene
2,hcnh, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8727179526330475,0.7475242742036796,0.8671691213397281,0.8647123677662257,0.8727179526330475,0.2180631160736084,"InChI=1S/CH2N/c1-2/h1-2H
","[CH]=N	molecule ""hcnh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,h2ccn, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.878540528712235,0.6828536765173975,0.8714190703637981,0.8141310699994999,0.878540528712235,0.217613935470581,"InChI=1S/C2H2N/c1-2-3/h1H2
","[CH2]C#N	molecule ""h2ccn"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Nitrile
2,no2, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8953154495107646,0.7704556029499076,0.8964993979775262,0.9066207638825876,0.8953154495107646,0.2446649074554443,"InChI=1S/NO2/c2-1-3
","N(=O)[O]	molecule ""no2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,bn3pi, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8261142346178455,0.7436977018642843,0.8242163057964593,0.7892424935337842,0.8261142346178455,0.1972672939300537,"InChI=1S/BN/c1-2
","B#N	molecule ""bn3pi"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",inorganic,Unknown
2,ch3nh, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8772725010730142,0.7233910497001639,0.869784043452388,0.8911418916412123,0.8772725010730142,0.1977593898773193,"InChI=1S/CH4N/c1-2/h2H,1H3
","C[NH]	molecule ""ch3nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,c-hooo, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8897436355483926,0.7988275625687156,0.8904628637410692,0.9468712231798296,0.8897436355483926,0.3092372417449951,"InChI=1S/HO3/c1-3-2/h1H
","[O]OO	molecule ""c-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,so, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.9190707234526578,0.8868187372438533,0.9234134625718902,0.967097327331837,0.9190707234526578,0.2128305435180664,"InChI=1S/OS/c1-2
","S=O	molecule ""so"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
2,n2h, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8726061430745042,0.7248923870294051,0.8711675438364098,0.8513033278017644,0.8726061430745042,0.175776720046997,"InChI=1S/HN2/c1-2/h1H
","N=[N]	molecule ""n2h"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,no, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8820973613621989,0.7872311867827421,0.8829776789911624,0.8988093447042926,0.8820973613621989,0.2304308414459228,"InChI=1S/NO/c1-2
","[N]=O	molecule ""no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,V(NMe2)4, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8948515295902787,0.6848667879828161,0.8853839594240318,0.8664018796981189,0.8948515295902787,6.318263292312622,"InChI=1S/4C2H6N.V/c4*1-3-2;/h4*1-2H3;/q4*-1;+4
","[V](N(C)C)(N(C)C)(N(C)C)N(C)C	molecule ""V(NMe2)4"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Amine
2,allyl, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8840915549137821,0.6849389107608594,0.8730947486915568,0.8095333409416902,0.8840915549137821,0.2049911022186279,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2
","C=C[CH2]	molecule ""allyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Alkene
2,ch2nh2, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8852922815022345,0.7419033114560929,0.8783382428103572,0.9108589355427552,0.8852922815022345,0.1988646984100341,"InChI=1S/CH4N/c1-2/h1-2H2
","[CH2]N	molecule ""ch2nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Amine
2,clo, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.9338301634449508,0.9297339083434012,0.9401952352810862,0.9970182284974252,0.9338301634449508,0.1914615631103515,"InChI=1S/ClO/c1-2
","Cl[O]	molecule ""clo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,hco, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8834300081536764,0.7839601301143752,0.8795222704589799,0.8954069816431246,0.8834300081536764,0.2008395195007324,"InChI=1S/CHO/c1-2/h1H
","O=[CH]	molecule ""hco"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,h2no, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8887997150472015,0.774742424892608,0.8890078989249133,0.9133023012360904,0.8887997150472015,0.190805435180664,"InChI=1S/H2NO/c1-2/h1H2
","N[O]	molecule ""h2no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Amine
2,cyclopropyl, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8856541148346788,0.6706989307782736,0.8741365129572253,0.7863277174594703,0.8856541148346788,0.194653034210205,"InChI=1S/C3H5/c1-2-3-1/h1H,2-3H2
","C1C[CH]1	molecule ""cyclopropyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,ch2-trip, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8327658806874959,0.8448638112989907,0.8259408485351319,0.9274477191932858,0.8327658806874959,0.1648387908935547,"InChI=1S/CH2/h1H2
","[CH2]	molecule ""ch2-trip"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
2,hoo, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8855536651426757,0.8129986787371095,0.887463736224014,0.9775603801615156,0.8855536651426757,0.1694698333740234,"InChI=1S/HO2/c1-2/h1H
","[O]O	molecule ""hoo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,nh2, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8576302211223711,0.7452520916689753,0.8550465796916101,0.964607683146637,0.8576302211223711,0.1637477874755859,"InChI=1S/H2N/h1H2
","[NH2]	molecule ""nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,s2, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.9380211628940996,0.9205348108365252,0.9410658190697178,0.9657260439880274,0.9380211628940996,0.1887438297271728,"InChI=1S/S2/c1-2
","[S][S]	molecule ""s2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
2,Ti(BH4)3, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.903463681643536,0.636836692694771,0.8899144967712536,0.8643411568515724,0.903463681643536,0.6586582660675049,"InChI=1S/3BH4.Ti/h3*1H4;
","[Ti].[BH4].[BH4].[BH4]	molecule ""Ti(BH4)3"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Unknown
2,o2, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8849010572753641,0.8470264279426414,0.8888874669132152,0.9345757608705862,0.8849010572753641,0.1698396205902099,"InChI=1S/O2/c1-2
","O=O	molecule ""o2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
2,ch3, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.867120631546463,0.7838184822493466,0.8574078432029677,0.880265794724212,0.867120631546463,0.1615083217620849,"InChI=1S/CH3/h1H3
","[CH3]	molecule ""ch3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,sif, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.926533901121002,0.9136801858981668,0.9313874361780728,0.9780598198801288,0.926533901121002,0.1848032474517822,"InChI=1S/FSi/c1-2
","F[Si]	molecule ""sif"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",inorganic,Unknown
2,cf, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8978813823616436,0.8097528979096082,0.9005007683496994,0.9100838034814724,0.8978813823616436,0.1838181018829345,"InChI=1S/CF/c1-2
","[C]F	molecule ""cf"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,ssh, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.9405631938344496,0.8939844236420549,0.9417918159684392,0.9645494522225752,0.9405631938344496,0.186629056930542,"InChI=1S/HS2/c1-2/h1H
","S[S]	molecule ""ssh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,oh, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8647635304926262,0.9202794877889906,0.867634017021596,0.930285360172609,0.8647635304926262,0.1555850505828857,"InChI=1S/HO/h1H
","[OH]	molecule ""oh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,sih, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.9059716291968556,0.8687527857380748,0.9077054103424465,0.9106976777038728,0.9059716291968556,0.166865587234497,"InChI=1S/HSi/h1H
","[SiH]	molecule ""sih"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",inorganic,Unknown
2,nh, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.8231818608295498,0.9131960364224876,0.8231597353580455,0.994855306823258,0.8231818608295498,0.154681921005249,"InChI=1S/HN/h1H
","[NH]	molecule ""nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",organic,Unknown
2,hs, Non-neutral and/or non-singlet molecules,HF,STO-3G,f-score,0.9250909656842478,0.9411003056693044,0.9286649493338764,0.9954113384554768,0.9250909656842478,0.1630573272705078,"InChI=1S/HS/h1H
","[SH]	molecule ""hs"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,ch,     Non-neutral and/or non-singlet molecules,revTPSSh,pcseg-1,f-score,0.8064863943186795,0.664669207561654,0.8077339446237845,0.9103367416474748,0.8064863943186795,0.2047441005706787,"InChI=1S/CH/h1H
","[CH]	molecule ""ch"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,bn3pi,     Non-neutral and/or non-singlet molecules,revTPSSh,pcseg-1,f-score,0.8310782329776704,0.6605807359508801,0.8352482416089676,0.8925567101304286,0.8310782329776704,0.2354023456573486,"InChI=1S/BN/c1-2
","B#N	molecule ""bn3pi"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
",inorganic,Unknown
2,cyclopropyl,     Non-neutral and/or non-singlet molecules,revTPSSh,pcseg-1,f-score,0.8846514734346878,0.5820884739419935,0.8902605522265595,0.9430570927569556,0.8846514734346878,1.145310640335083,"InChI=1S/C3H5/c1-2-3-1/h1H,2-3H2
","C1C[CH]1	molecule ""cyclopropyl"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,no,     Non-neutral and/or non-singlet molecules,revTPSSh,pcseg-1,f-score,0.8866955580902783,0.6845886105942458,0.8904385367455796,0.9730296338008764,0.8866955580902783,0.249075174331665,"InChI=1S/NO/c1-2
","[N]=O	molecule ""no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
",organic,Unknown
2,Cu(acac)2,     Non-neutral and/or non-singlet molecules,revTPSSh,pcseg-1,f-score,,,,,,,"InChI=1S/2C5H8O2.Cu/c2*1-4(6)3-5(2)7;/h2*3,6H,1-2H3;/q2*-1;+4/p-2/b2*4-3-;
","C1=C(O[Cu@]2(O[C]1C)O[C](C=C(O2)C)C)C	molecule ""Cu(acac)2"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Alkene
2,Ti(BH4)3,     Non-neutral and/or non-singlet molecules,revTPSSh,pcseg-1,f-score,0.9054677299977042,0.5183840137495,0.9114923225579384,0.9491315469665528,0.9054677299977042,11.960594892501833,"InChI=1S/3BH4.Ti/h3*1H4;
","[Ti].[BH4].[BH4].[BH4]	molecule ""Ti(BH4)3"" dataset ""Bühl 2006"" charge 0 multiplicity 2
",inorganic,Unknown
