molecule,functional_group,smi,inchi
clo,(Fallback) Inorganic,"Cl[O]	molecule ""clo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/ClO/c1-2
"
hcnh,(Fallback) Organic,"[CH]=N	molecule ""hcnh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CH2N/c1-2/h1-2H
"
c-hooo,(Fallback) Inorganic,"[O]OO	molecule ""c-hooo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/HO3/c1-3-2/h1H
"
sif,(Fallback) Inorganic,"F[Si]	molecule ""sif"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/FSi/c1-2
"
n2h,(Fallback) Inorganic,"N=[N]	molecule ""n2h"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/HN2/c1-2/h1H
"
ch2-trip,(Fallback) Organic,"[CH2]	molecule ""ch2-trip"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
","InChI=1S/CH2/h1H2
"
no2,(Fallback) Inorganic,"N(=O)[O]	molecule ""no2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/NO2/c2-1-3
"
h2no,Amine,"N[O]	molecule ""h2no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/H2NO/c1-2/h1H2
"
nh2,(Fallback) Inorganic,"[NH2]	molecule ""nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/H2N/h1H2
"
so,(Fallback) Inorganic,"S=O	molecule ""so"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
","InChI=1S/OS/c1-2
"
hco,(Fallback) Organic,"O=[CH]	molecule ""hco"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/CHO/c1-2/h1H
"
hoo,(Fallback) Inorganic,"[O]O	molecule ""hoo"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/HO2/c1-2/h1H
"
no,(Fallback) Inorganic,"[N]=O	molecule ""no"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/NO/c1-2
"
ssh,Thiol,"S[S]	molecule ""ssh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/HS2/c1-2/h1H
"
oh,(Fallback) Inorganic,"[OH]	molecule ""oh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/HO/h1H
"
nh,(Fallback) Inorganic,"[NH]	molecule ""nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
","InChI=1S/HN/h1H
"
sih,(Fallback) Inorganic,"[SiH]	molecule ""sih"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/HSi/h1H
"
o2,(Fallback) Inorganic,"O=O	molecule ""o2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
","InChI=1S/O2/c1-2
"
hs,(Fallback) Inorganic,"[SH]	molecule ""hs"" dataset ""non-multireference W4-17"" charge 0 multiplicity 2
","InChI=1S/HS/h1H
"
s2,(Fallback) Inorganic,"[S][S]	molecule ""s2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 3
","InChI=1S/S2/c1-2
"
Mn(NO)3CO,(Fallback) Organometallic,"[Mn]([C][O])([N][O])([N][O])[N][O]	molecule ""Mn(NO)3CO"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/CO.Mn.3NO/c1-2;;3*1-2
"
Ni(C5H5)NO,Alkene,"C1=C[C@@H](C=C1)[Ni][N][O]	molecule ""Ni(C5H5)NO"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/C5H5.NO.Ni/c1-2-4-5-3-1;1-2;/h1-5H;;
"
Mn(C5H5)(CO)3,Alkene,"[Mn]1([C@H]2[CH][C@@H]1C=C2)([C][O])([C][O])[C][O]	molecule ""Mn(C5H5)(CO)3"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/C5H5.3CO.Mn/c1-2-4-5-3-1;3*1-2;/h1-5H;;;;
"
b2h6,(Fallback) Inorganic,"[BH2].[BH4]	molecule ""b2h6"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/BH4.BH2/h1H4;1H2
"
Fe(C4H4)(CO)3,(Fallback) Organometallic,"[Fe]1([C@H]2[CH][C@@H]1[CH]2)([C][O])([C][O])[C][O]	molecule ""Fe(C4H4)(CO)3"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/C4H4.3CO.Fe/c1-2-4-3-1;3*1-2;/h1-4H;;;;
"
ED14,Ketone,"c1c(cccc1)[P]1(CC(=O)O[NiH]1)c1ccccc1	molecule ""ED14"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C14H13O2P.Ni.H/c15-14(16)11-17(12-7-3-1-4-8-12)13-9-5-2-6-10-13;;/h1-10H,11H2,(H,15,16);;/q;+1;/p-1
"
Fe(CO)2(NO)2,(Fallback) Organometallic,"[Fe]([C][O])([C][O])([N][O])[N][O]	molecule ""Fe(CO)2(NO)2"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/2CO.Fe.2NO/c2*1-2;;2*1-2
"
MnCp(CO)3,Alkene,"[Mn]1([C@@H]2C=C[C@H]1[CH]2)([C][O])([C][O])[C][O]	molecule ""MnCp(CO)3"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/C5H5.3CO.Mn/c1-2-4-5-3-1;3*1-2;/h1-5H;;;;
"
Fe(CO)3(tmm),(Fallback) Organometallic,"[Fe](C([CH2])([CH2])[CH2])([C][O])([C][O])[C][O]	molecule ""Fe(CO)3(tmm)"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/C4H6.3CO.Fe/c1-4(2)3;3*1-2;/h1-3H2;;;;
"
Mn(CO)5CN,Nitrile,"[Mn](C#N)([C][O])([C][O])([C][O])([C][O])[C][O]	molecule ""Mn(CO)5CN"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/CN.5CO.Mn/c6*1-2;
"
Fe(C4H6)(CO)3,Alkene,"[C@@H](C=C)([CH2])[Fe]([C][O])([C][O])[C][O]	molecule ""Fe(C4H6)(CO)3"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/C4H6.3CO.Fe/c1-3-4-2;3*1-2;/h3-4H,1-2H2;;;;
"
Cr(C6H6)(CO)3,Alkene,"[Cr]([C@@H]1[CH]C=CC=C1)([C][O])([C][O])[C][O]	molecule ""Cr(C6H6)(CO)3"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/C6H6.3CO.Cr/c1-2-4-6-5-3-1;3*1-2;/h1-6H;;;;
"
c2h6,(Fallback) Organic,"CC	molecule ""c2h6"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H6/c1-2/h1-2H3
"
ch4,(Fallback) Organic,"C	molecule ""ch4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH4/h1H4
"
PR04,Alkene,"[C@@H]1(C=CC=C1)[Co@]1(C=CC=C1)[C][O]	molecule ""PR04"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C5H5.C4H4.CO.Co/c1-2-4-5-3-1;1-3-4-2;1-2;/h1-5H;1-4H;;
"
Fe(CO)4(C2H4),(Fallback) Organometallic,"[Fe](C[CH2])([C][O])([C][O])([C][O])[C][O]	molecule ""Fe(CO)4(C2H4)"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/C2H4.4CO.Fe/c5*1-2;/h1-2H2;;;;;
"
tetrahedrane,(Fallback) Organic,"[C@@H]12[C@H]3[C@@H]1[C@@H]23	molecule ""tetrahedrane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H4/c1-2-3(1)4(1)2/h1-4H/t1-,2+,3-,4+
"
PR05,(Fallback) Organometallic,"[Mn]([C][O])([C][O])([C][O])([C][O])([C][O])C=O	molecule ""PR05"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/CHO.5CO.Mn/c6*1-2;/h1H;;;;;;
"
propene,Alkene,"CC=C	molecule ""propene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3
"
Co(C3H5)(CO)3,(Fallback) Organometallic,"[Co](C([CH2])[CH2])([C][O])([C][O])[C][O]	molecule ""Co(C3H5)(CO)3"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/C3H5.3CO.Co/c1-3-2;3*1-2;/h3H,1-2H2;;;;
"
cyclopropane,(Fallback) Organic,"C1CC1	molecule ""cyclopropane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C3H6/c1-2-3-1/h1-3H2
"
ED04,Alkene,"C1=CC=C[CH]1.[Co](C=[CH])C=[CH]	molecule ""ED04"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C5H5.2C2H2.Co/c1-2-4-5-3-1;2*1-2;/h1-5H;2*1-2H;
"
Fe(C2H4)(CO)4,(Fallback) Organometallic,"[Fe](C[CH2])([C][O])([C][O])([C][O])[C][O]	molecule ""Fe(C2H4)(CO)4"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/C2H4.4CO.Fe/c5*1-2;/h1-2H2;;;;;
"
propane,(Fallback) Organic,"CCC	molecule ""propane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C3H8/c1-3-2/h3H2,1-2H3
"
cyclobutene,Alkene,"C1=CCC1	molecule ""cyclobutene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H6/c1-2-4-3-1/h1-2H,3-4H2
"
ED15,(Fallback) Organometallic,"[Ni](C([CH2])[CH2])C([CH2])[CH2]	molecule ""ED15"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/2C3H5.Ni/c2*1-3-2;/h2*3H,1-2H2;
"
Ni(C3H5)2,(Fallback) Organometallic,"[Ni](C([CH2])[CH2])C([CH2])[CH2]	molecule ""Ni(C3H5)2"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/2C3H5.Ni/c2*1-3-2;/h2*3H,1-2H2;
"
n-butane,(Fallback) Organic,"CCCC	molecule ""n-butane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3
"
cyclopropene,Alkene,"C1C=C1	molecule ""cyclopropene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2
"
VCp(CO)4,Alkene,"[V]([C@@H]1C=CC=C1)([C][O])([C][O])([C][O])[C][O]	molecule ""VCp(CO)4"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/C5H5.4CO.V/c1-2-4-5-3-1;4*1-2;/h1-5H;;;;;
"
oxetane,Ether,"C1CCO1	molecule ""oxetane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C3H6O/c1-2-4-3-1/h1-3H2
"
cyclobutane,(Fallback) Organic,"C1CCC1	molecule ""cyclobutane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H8/c1-2-4-3-1/h1-4H2
"
n-pentane,(Fallback) Organic,"C(CCC)C	molecule ""n-pentane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3
"
c2h4,Alkene,"C=C	molecule ""c2h4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H4/c1-2/h1-2H2
"
ch3nh2,Amine,"CN	molecule ""ch3nh2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH5N/c1-2/h2H2,1H3
"
Mn(CO)4NO,(Fallback) Organometallic,"[Mn]([N][O])([C][O])([C][O])([C][O])[C][O]	molecule ""Mn(CO)4NO"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/4CO.Mn.NO/c4*1-2;;1-2
"
ethanol,Alcohol,"OCC	molecule ""ethanol"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3
"
cyclopentadiene,Alkene,"C1C=CC=C1	molecule ""cyclopentadiene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C5H6/c1-2-4-5-3-1/h1-4H,5H2
"
Cr(NO)4,(Fallback) Inorganic,"[Cr]([N][O])([N][O])([N][O])[N][O]	molecule ""Cr(NO)4"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/Cr.4NO/c;4*1-2
"
propyne,Alkyne,"C#CC	molecule ""propyne"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C3H4/c1-3-2/h1H,2H3
"
PR14,Ketone,"c1c(cccc1)P(c1ccccc1)CC(=O)O[Ni]1[C@@H]2CCC[CH][C@H]1CC2	molecule ""PR14"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C14H13O2P.C8H13.Ni/c15-14(16)11-17(12-7-3-1-4-8-12)13-9-5-2-6-10-13;1-2-4-6-8-7-5-3-1;/h1-10H,11H2,(H,15,16);1-2,7H,3-6,8H2;/q;;+1/p-1
"
ED05,(Fallback) Organometallic,"[MnH]([C][O])([C][O])([C][O])([C][O])[C][O]	molecule ""ED05"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/5CO.Mn.H/c5*1-2;;
"
t-butadiene,Alkene,"C(=C)C=C	molecule ""t-butadiene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2
"
cyclobutadiene,Alkene,"C1=CC=C1	molecule ""cyclobutadiene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H4/c1-2-4-3-1/h1-4H
"
FeCp2,Alkene,"[Fe][C@@H]1[CH]C=C[CH]1.C1=CC=C[CH]1	molecule ""FeCp2"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/2C5H5.Fe/c2*1-2-4-5-3-1;/h2*1-5H;
"
Fe(C5Me5)(P5),Alkene,"[Fe]1[C@@]2([C]([C@]1(C(=C2C)C)C)C)C.P1=PP=P[P]1	molecule ""Fe(C5Me5)(P5)"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/C10H15.Fe.P5/c1-6-7(2)9(4)10(5)8(6)3;;1-2-4-5-3-1/h1-5H3;;
"
allene,Alkene,"C(=C)=C	molecule ""allene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C3H4/c1-3-2/h1-2H2
"
borole,Alkene,"C1=CC=CB1	molecule ""borole"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H5B/c1-2-4-5-3-1/h1-5H
"
PMe3,(Fallback) Organic,"P(C)(C)C	molecule ""PMe3"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C3H9P/c1-4(2)3/h1-3H3
"
beta-lactim,Alcohol,"C1N=C(C1)O	molecule ""beta-lactim"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C3H5NO/c5-3-1-2-4-3/h1-2H2,(H,4,5)
"
PR15,Alkene,"[Ni]1(C([CH2])[CH2])O[C](O1)CC=C	molecule ""PR15"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C4H5O2.C3H5.Ni/c1-2-3-4(5)6;1-3-2;/h2H,1,3H2;3H,1-2H2;/q-2;;+2
"
silole,Alkene,"C1=CC=C[SiH2]1	molecule ""silole"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H6Si/c1-2-4-5-3-1/h1-4H,5H2
"
PR40,(Fallback) Organometallic,"[Ti](C)(C)(C[Al](C)C)Cl	molecule ""PR40"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/4CH3.CH2.Al.ClH.Ti/h4*1H3;1H2;;1H;/q;;;;;;;+1/p-1
"
ch2c,Alkene,"[C]=C	molecule ""ch2c"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H2/c1-2/h1H2
"
Ni(acac)2,Alkene,"[Ni@@]12(O[C](C=C(O1)C)C)O[C](C=C(O2)C)C	molecule ""Ni(acac)2"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/2C5H8O2.Ni/c2*1-4(6)3-5(2)7;/h2*3,6H,1-2H3;/q2*-1;+4/p-2/b2*4-3-;
"
ED28,(Fallback) Organic,"P(CCP(C)C)(C)C	molecule ""ED28"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C6H16P2/c1-7(2)5-6-8(3)4/h5-6H2,1-4H3
"
c2h5f,Halogenalkane,"FCC	molecule ""c2h5f"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H5F/c1-2-3/h2H2,1H3
"
ED27,(Fallback) Organic,"P(C)(C)CP(C)C	molecule ""ED27"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C5H14P2/c1-6(2)5-7(3)4/h5H2,1-4H3
"
furan,Furan,"c1ccco1	molecule ""furan"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H
"
Co(CO)3(NO),(Fallback) Organometallic,"[Co]([N][O])([C][O])([C][O])[C][O]	molecule ""Co(CO)3(NO)"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/3CO.Co.NO/c3*1-2;;1-2
"
pyrrole,Pyrrole,"c1ccc[nH]1	molecule ""pyrrole"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H
"
Sc(acac)3,Alkene,"[Sc]123(OC(=C[C](O1)C)C)(O[C](C=C(O3)C)C)OC(=C[C](O2)C)C	molecule ""Sc(acac)3"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/3C5H8O2.Sc/c3*1-4(6)3-5(2)7;/h3*3,6H,1-2H3;/q3*-1;+6/p-3/b3*4-3-;
"
ED40a,(Fallback) Organometallic,"[Ti](=C)(C)C	molecule ""ED40a"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/2CH3.CH2.Ti/h2*1H3;1H2;
"
PR12,(Fallback) Organometallic,"[Cr]([C][O])([C][O])([C][O])([C][O])([C][O])C[CH2]	molecule ""PR12"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C2H4.5CO.Cr/c6*1-2;/h1-2H2;;;;;;
"
oxirane,"Ether, Epoxide","O1CC1	molecule ""oxirane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H4O/c1-2-3-1/h1-2H2
"
PR02,(Fallback) Organometallic,"[Fe]([C][O])([C][O])([C][O])([C][O])[C][O]	molecule ""PR02"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/5CO.Fe/c5*1-2;
"
Cr(C6H6)2,Alkene,"[Cr@@]12([C@H]3C=C[C@@H]1C=C3)[C@H]1C=C[C@@H]2C=C1	molecule ""Cr(C6H6)2"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/2C6H6.Cr/c2*1-2-4-6-5-3-1;/h2*1-6H;
"
acetaldehyde,"Aldehyde, Ketone","C(=O)C	molecule ""acetaldehyde"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H4O/c1-2-3/h2H,1H3
"
benzene,(Fallback) Organic,"c1ccccc1	molecule ""benzene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
"
Fe(CO)5,(Fallback) Organometallic,"[Fe]([C][O])([C][O])([C][O])([C][O])[C][O]	molecule ""Fe(CO)5"" dataset ""van Lenthe 2006"" charge 0 multiplicity 1
","InChI=1S/5CO.Fe/c5*1-2;
"
PCy3,(Fallback) Organic,"P(C1CCCCC1)(C1CCCCC1)C1CCCCC1	molecule ""PCy3"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C18H33P/c1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18/h16-18H,1-15H2
"
ch3ph2,(Fallback) Organic,"CP	molecule ""ch3ph2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH5P/c1-2/h2H2,1H3
"
ED31,Alkene,"P(/C=C\P(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1	molecule ""ED31"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C26H22P2/c1-5-13-23(14-6-1)27(24-15-7-2-8-16-24)21-22-28(25-17-9-3-10-18-25)26-19-11-4-12-20-26/h1-22H/b22-21-
"
ED30,(Fallback) Organic,"P(n1cccc1)(n1cccc1)CCP(n1cccc1)n1cccc1	molecule ""ED30"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C18H20N4P2/c1-2-10-19(9-1)23(20-11-3-4-12-20)17-18-24(21-13-5-6-14-21)22-15-7-8-16-22/h1-16H,17-18H2
"
methanol,Alcohol,"CO	molecule ""methanol"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH4O/c1-2/h2H,1H3
"
thiophene,Thiophene,"c1cccs1	molecule ""thiophene"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H
"
dithiotane,(Fallback) Organic,"C1SCS1	molecule ""dithiotane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H4S2/c1-3-2-4-1/h1-2H2
"
CoH(CO)4,(Fallback) Organometallic,"[CoH]([C][O])([C][O])([C][O])[C][O]	molecule ""CoH(CO)4"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/4CO.Co.H/c4*1-2;;
"
c2clh5,Halogenalkane,"ClCC	molecule ""c2clh5"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3
"
PhSH,Thiol,"c1(ccccc1)S	molecule ""PhSH"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C6H6S/c7-6-4-2-1-3-5-6/h1-5,7H
"
nh3,(Fallback) Inorganic,"N	molecule ""nh3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H3N/h1H3
"
AcCl,Ketone,"CC(=O)Cl	molecule ""AcCl"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/C2H3ClO/c1-2(3)4/h1H3
"
c2h2,Alkyne,"C#C	molecule ""c2h2"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H2/c1-2/h1-2H
"
ED40b,(Fallback) Organometallic,"[Al](Cl)(C)C	molecule ""ED40b"" dataset ""MOR41"" charge 0 multiplicity 1
","InChI=1S/2CH3.Al.ClH/h2*1H3;;1H/q;;+1;/p-1
"
CuCN,Nitrile,"[Cu]C#N	molecule ""CuCN"" dataset ""Bühl 2006"" charge 0 multiplicity 1
","InChI=1S/CN.Cu/c1-2;
"
acetic,"Alcohol, Carboxylic Acid, Ketone","C(=O)(C)O	molecule ""acetic"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)
"
ch2nh,(Fallback) Organic,"C=N	molecule ""ch2nh"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/CH3N/c1-2/h2H,1H2
"
c2clh3,Alkene,"C=CCl	molecule ""c2clh3"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H3Cl/c1-2-3/h2H,1H2
"
n2h4,Amine,"NN	molecule ""n2h4"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/H4N2/c1-2/h1-2H2
"
c2h3f,Alkene,"C=CF	molecule ""c2h3f"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H3F/c1-2-3/h2H,1H2
"
dioxetane,Ether,"C1OCO1	molecule ""dioxetane"" dataset ""non-multireference W4-17"" charge 0 multiplicity 1
","InChI=1S/C2H4O2/c1-3-2-4-1/h1-2H2
"
